Auteurs;Année;Année de soutenance;Titre;Titre journal;Année;Volume;Issue;Editeur scientifique;Titre ouvrage;Titre du volume;Editeur revue;Volume, Issue, Pages;ISBN;Titre conférence;Commentaire;Date congrès;Ville;Pays;Source;Volume;Numéro;Pagination;Patent n°;Date de publication;Type de rapport;N°;Organisme de délivrance;Pages;Date de publication;Directeur de thèse;Université de soutenance;Année de soutenance;Organisme de délivrance;DOI;NNT;Pubmed;Référence;ArXiv;Description;Voir aussi;Réf. HAL;Rang HCERES;Rang CNRS
Duvail J.-L., Garreau A., Bigeon J., Huby N., Bêche B., Massuyeau F., Désert A., Cordier S., Molard Y., Faulques E.;2015;;Polymer-Based Nanowires and Nanotubes: nanosources, wave-guiding;;;;;;;;;;;Nanotech France 2015;;15-17 juin 2015;Paris;France;;;;;;;;;;;;;;;;;;;;;;;;;
Even J., Pedesseau L., Kepenekian M., Sapori D., Rolland A., Katan C.;2015;;A solid state physics perspective on hybrid perovskites for photovoltaics and optoelectronics;;;;;;;;;;;7th International Conference on Hybrid and Organic Photovoltaics (HOPV 15);;10-13 mai 2015;Rome;Italie;;;;;;;;;;;;;;;;;;;;;;;;;
Even J., Pedesseau L., Kepenekian M., Sapori D., Katan C.;2015;;Theoretical insights into multibandgap hybrid perovskites for photovoltaic applications;;;;;;;;;;;SPIE Optics+Photonics - Nanoscience+Engineering 2015;;9 août 2015;San Diego;États-Unis;Proc. SPIE;9552;;95520Z;;;;;;;;;;;;10.1117/12.2191953;;;;;;;;;
Guilloux-Viry M., Waroquet A., Cissé F., Le Febvrier A., Demange V., Députier S., Bouquet V., Castel X., Benzerga R., Sauleau R., Gautier B.;2015;;Growth and characterization of ferroelectric thin films for high frequency agile devices;;;;;;;;;;;E-MRS 2015 Spring Meeting ‘European Material Research Society’;;11-15 mai 2015;Lille;France;Proceedings de EMRS 2015;;;1 page;;;;;;;;;;;;;;;;;;;;;

