
Auteurs;Année;Année de soutenance;Titre;Titre journal;Année;Volume;Issue;Editeur scientifique;Titre ouvrage;Titre du volume;Editeur revue;Volume, Issue, Pages;ISBN;Titre conférence;Commentaire;Date congrès;Ville;Pays;Source;Volume;Numéro;Pagination;Patent n°;Date de publication;Type de rapport;N°;Organisme de délivrance;Pages;Date de publication;Directeur de thèse;Université de soutenance;Année de soutenance;Organisme de délivrance;DOI;NNT;Pubmed;Référence;ArXiv;Description;Voir aussi;Réf. HAL;Rang HCERES;Rang CNRS
Potard K., Monard C., Le Moigne A., Le Bris N., Caudal J.-P., Le Garrec J.-L., Binet F.;2015;;Emissions of Volatile Organic Compounds (VOCs) from soil to the atmosphere according to agricultural land-uses. Interrelationships between SOM, microbial diversity and VOCs fluxes;;;;;;;;;;;Bageco;;14-18 juin 2015;Milan;Italie;;;;;;;;;;;;;;;;;;;;;;;;;
Bulot A., Bureau F., Berard A., Potard K., Dutoit T.;2014;;Restauration écologique par reconstitution pédologique. Quels impacts sur le sol et la végétation trois ans après ?;;;;;;;;;;;Les 5èmes journées atelier  Réseau d'Echanges et de Valorisation en Ecologie de la Restauration: "REVER et CONCILIER";;Rouen;France;;;;;;;;;;;;;;;;;;;;;;;;;
Bulot A., Bureau F., Berard A., Potard K., Dutoit T.;2014;;Restauration écologique par reconstitution pédologique. Quels impacts sur le sol et la végétation trois ans après.;;;;;;;;;;;REVER5 Cinquièmes Journées Ateliers du Réseau d'Échanges et de Valorisation en Écologie de la Restauration;;Rouen;France;;;;;;;;;;;;;;;;;;;;;;;;;
Bureau F., Potard K., Bulot A., Berard A., Dutoit T.;2014;;Restauration écologique par reconstitution pédologique : cas de la réserve naturelle des Coussouls de Crau impactée par une fuite d’hydrocarbures.;;;;;;;;;;;Journées d’Etude des Sols;;Chambéry;France;;;;;;;;;;;;;;;;;;;;;;;;;
Monard C., Ceau T., Ola A., Le Garrec J., Potard K., Bris N. L., Mahé S., Caudal J. P., Jeanneau L., Binet F.;2014;;Impact of farmyard manure inputs on soil microbial diversity: Consequences on volatile organic compounds emissions and C cycle.;;;;;;;;;;;First Global Soil Biodiversity Conference: “Assessing soil biodiversity and its role for ecosystem services”;;2-5 décembre 2014;Dijon;France;;;;;;;;;;;;;;;;;;;;;;;;;

