Auteurs;Année;Année de soutenance;Titre;Titre journal;Année;Volume;Issue;Editeur scientifique;Titre ouvrage;Titre du volume;Editeur revue;Volume, Issue, Pages;ISBN;Titre conférence;Commentaire;Date congrès;Ville;Pays;Patent n°;Date de publication;Type de rapport;N°;Organisme de délivrance;Pages;Date de publication;Directeur de thèse;Université de soutenance;Année de soutenance;Organisme de délivrance;DOI;NNT;Pubmed;Référence;ArXiv;Description;Voir aussi;Réf. HAL;Rang HCERES;Rang CNRS
Baxter E. F., Bennett T. D., Mellot-Draznieks C., Gervais C., Blanc F., Cheetham A. K.;2015;;Combined experimental and computational NMR study of crystalline and amorphous zeolitic imidazolate frameworks;Physical Chemistry Chemical Physics;;17;38;;;;;25191-25196;;;;;;;;;;;;;;;;;10.1039/c5cp02552d;;;;;;;;;
Bazin D., Daudon M.;2015;;Les pathologies microcristallines et les techniques de physicochimie : quelques avancées;Annales de Biologie Clinique;;73;5;;;;;517-534;;;;;;;;;;;;;;;;;10.1684/abc.2015.1070;;;;;;;;;
Bazin D., Jouanneau C., Bertazzo S., Sandt C., Dessombz A., Réfrégiers M., Dumas P., Frederick J., Haymann J.-P., Letavernier E., Ronco P., Daudon M.;2015;;Combining field effect scanning electron microscopy, deep UV fluorescence, Raman, classical and synchrotron radiation Fourier transform Infra-Red Spectroscopy in the study of crystal-containing kidney biopsies;Comptes Rendus Chimie;;;;;;;;;;;;;;;;;;;;;;;;;10.1016/j.crci.2015.03.001;;;;;;;;;
Bedford E., Humblot V., Méthivier C., Pradier C.-M., Gu F., Tielens F., Boujday S.;2015;;An Experimental and Theoretical Approach to Investigate the Effect of Chain Length on Aminothiol Adsorption and Assembly on Gold;Chemistry - A European Journal;;21;41;;;;;14555-14561;;;;;;;;;;;;;;;;;10.1002/chem.201500653;;;;;;;;;
Berthomieu D., Gervais C., Renaudin G., Reinholdt M., Sene S., Smith M. E., Bonhomme C., Laurencin D.;2015;;Coordination polymers based on alkylboronate ligands: synthesis, characterization, and computational modelling;European Journal of Inorganic Chemistry;;;;;;;;1182-1191;;;;;;;;;;;;;;;;;10.1002/ejic.201402561;;;;;;;;;
Bilmes S. A., Jobbagy M., Spedalieri C., Sicard C., Perullini M., Brayner R., Coradin T., Livage J.;2015;;Silica@proton-alginate microreactors: a versatile platform for cell encapsulation;Journal of materials chemistry‎ B;;3;16;;;;;3189-3194;;;;;;;;;;;;;;;;;10.1039/c4tb02020k;;;;;;;;;
Bouabdalaoui L., Le Ouay B., Coradin T., Laberty-Robert C.;2015;;Evaluation of Hydrophilized Graphite Felt for Electrochemical Heavy Metals Detection (Pb2+, Hg2+);International Journal of Electrochemistry;;2015;;;;;;e890425;;;;;;;;;;;;;;;;;10.1155/2015/890425;;;;;;;;;
Bouchoucha M., Tielens F., Gaslain F., Costa-Torro F., Casale S., Palcic A., Valtchev V., Lambert J.-F., Jaber M.;2015;;Melanin polymerization held in check : A composite of dihydroxyphenylalanine with zeolite beta;Journal of Physical Chemistry C;;119;;;;;;8736-8747;;;;;;;;;;;;;;;;;10.1021/acs.jpcc.5b01194;;;;;;;;;
Bourgeault A., Cousin C., Geertsen V., Cassier-Chauvat C., Chauvat F., Durupthy O., Chaneac C., Spalla O.;2015;;The challenge of studying TiO2 nanoparticle bioaccumulation at environmental concentrations: Crucial use of a stable isotope tracer;Environ. Sci. Technol.;;49;;;;;;2451-2459;;;;;;;;;;;;;;;;;10.1021/es504638f;;;;;;;;;
Bouyarmane H., Saoiabi S., El Hanbali I., El Karbane M., Rami A., Masse S., Laghzizil A., Coradin T.;2015;;Porous hydroxyapatite-TiO2 nanocomposites from natural phosphates and their decolorization properties;European Physical Journal - Special Topics;;224;9;;;;;1861-1869;;;;;;;;;;;;;;;;;10.1140/epjst/e2015-02505-9;;;;;;;;;
Bouyarmane H., El Hanbali I., El Karbane M., Rami A., Saoiabi A., Saoiabi S., Masse S., Coradin T., Laghzizil A.;2015;;Parameters influencing ciprofloxacin, ofloxacin, amoxicillin and sulfamethoxazole retention by natural and converted calcium phosphates;Journal of Hazardous Materials;;291;;;;;;38-44;;;;;;;;;;;;;;;;;10.1016/j.jhazmat.2015.02.049;;;;;;;;;
Bozek K., Ho K., Saint-Martin T., Argyropoulos P., Williams V.;2015;;Liquid Crystalline Esters of Dibenzophenazines;Materials;;8;1;;;;;270-284;;;;;;;;;;;;;;;;;10.3390/ma8010270;;;;;;;;;
Bregiroux D., Popa K., Wallez G.;2015;;Crystal chemistry of M II M' IV (PO 4 ) 2 double monophosphates;Journal of Solid State Chemistry;;230;;;;;;26-33;;;;;;;;;;;;;;;;;10.1016/j.jssc.2015.06.010;;;;;;;;;
Bregiroux D., Wallez G., Popa K.;2015;;Structural study of polymorphism and thermal behavior of CaZr(PO4)2;Solid State Sciences;;;;;;;;in press;;;;;;;;;;;;;;;;;10.1016/j.solidstatesciences.2015.02.004;;;;;;;;;
Carretero-Genevrier A., Gich M., Picas L., Sanchez C., Rodríguez-Carvajal J.;2015;;Chiral habit selection on nanostructured epitaxial quartz films;Faraday Discussions;;DOI: 10.1039/C4FD00266K;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Ceratti D. R., Obliger A., Jardat M., Rotenberg B., Dahirel V.;2015;;Stochastic Rotation Dynamics simulation of electro-osmosis;Molecular Physics;;;;;;;;1-11;;;;;;;;;;;;;;;;;10.1080/00268976.2015.1037370;;;;;;;;;
Christoph S., Fernandes F. M., Coradin T.;2015;;Immobilization of Proteins in Biopolymer-Silica Hybrid Materials: Functional Properties and Applications;Current Organic Chemistry;;19;17;;;;;1669-1676;;;;;;;;;;;;;;;;;10.2174/1385272819666150429231937;;;;;;;;;
Cosmidis J., Benzerara K., Guyot F., Skouri-Panet F., Duprat E., Férard C., Guigner J.-M., Babonneau F., Coelho C.;2015;;Calcium-Phosphate Biomineralization Induced by Alkaline Phosphatase Activity in Escherichia coli: Localization, Kinetics, and Potential Signatures in the Fossil Record;Frontiers of Earth Science in China;;3;;;;;;84;;;;;;;;;;;;;;;;;10.3389/feart.2015.00084;;;;;;;;;
Cosmidis J., Benzerara K., Nassif N., Tyliszczak T., Bourdelle F.;2015;;Characterization of Ca-phosphate biological materials by scanning transmission x-ray microscopy (STXM) at the Ca L 2,3 -, P L 2,3 -and C K- edges;Acta Biomaterialia;;12;;;;;;206-269;;;;;;;;;;;;;;;;;10.1016/j.actbio.2014.10.003;;;;;;;;;
Costa D., Pradier C.-M., Tielens F., Savio L.;2015;;Adsorption and self-assembly of bio-organic molecules at model surfaces: A route towards increased complexity;Surface Science Reports;;70;4;;;;;449-553;;;;;;;;;;;;;;;;;10.1016/j.surfrep.2015.10.002;;;;;;;;;
Cuvier A.-S., Babonneau F., Berton J., Stevens C. V., Fadda G. C., Genois I., Le Griel P., Pehau-Arnaudet G., Baccile N.;2015;;Synthesis of Uniform, Monodisperse, Sophorolipid Twisted Ribbons;Chemistry - An Asian Journal;;10;11;;;;;2419-2426;;;;;;;;;;;;;;;;;10.1002/asia.201500693;;;;;;;;;
Darsy G., Bouzat F., Munoz M., Lucas R., Foucaud S., Coelho Diogo C., Babonneau F., Leconte Y., Maître A.;2015;;Monitoring a polycycloaddition by the combination of dynamic rheology and FTIR spectroscopy;Polymer;;79;;;;;;283-289;;;;;;;;;;;;;;;;;10.1016/j.polymer.2015.10.030;;;;;;;;;
Daudon M., Bazin D., Letavernier E.;2015;;Randall’s plaque as the origin of calcium oxalate kidney stones;Urolithiasis -Springer-;;43;supplément 1;;;;;5-11;;;;;;;;;;;;;;;;;10.1007/s00240-014-0703-y;;;;;;;;;
David L., Bernard S., Gervais C., Miele P., Singh G.;2015;;Facile Synthesis and High Rate Capability of Silicon Carbonitride/Boron Nitride Composite with a Sheet-Like Morphology;Journal of Physical Chemistry C;;119;5;;;;;2783-2791;;;;;;;;;;;;;;;;;10.1021/jp508075x;;;;;;;;;
Debecker D., Boissière C., Laurent G., Huet S., Eliaers P., Sanchez C., Backov R.;2015;;First Acidic Macro-Mesocellular Aluminosilicate Monolithic foams "SiAl(HIPE)" and their Catalytic Properties;Chemical Communications (London);;51;74;;;;;14018-14021;;;;;;;;;;;;;;;;;10.1039/C5CC05328E;;;;;;;;;
Dessombz A., Letavernier E., Haymann J.-P., Bazin D., Daudon M.;2015;;Calcium Phosphate Stone Morphology Can Reliably Predict Distal Renal Tubular Acidosis;Journal of Urology;;193;5;;;;;1564-1569;;;;;;;;;;;;;;;;;10.1016/j.juro.2014.12.017;;;;;;;;;
Drisko G., Carretero-Genevrier A., Perrot A., Gich M., Gazquez J., Rodríguez-Carvajal J., Favre L., Grosso D., Boissière C., Sanchez C.;2015;;Crystallization of hollow mesoporous silica nanoparticles;ChemComm;;51;;;;;;4164-4167;;;;;;;;;;;;;;;;;;;;;;;;;;
Dufour F., Pigeot-Remy S., Durupthy O., Cassaignon S., Ruaux V., Torelli S., Mariey L., Maugé F., Chanéac C.;2015;;Morphological control of TiO2 anatase nanoparticles: What is the good surface property to obtain efficient photocatalysts?;Applied Catalysis B: Environmental;;174-175;;;;;;350-360;;;;;;;;;;;;;;;;;10.1016/j.apcatb.2015.03.013;;;;;;;;;
Gagne K., Loiseau P., Dubois V., Dufossé F., Perrier P., Dormoy A., Jollet I., Renac V., Masson D., Picard C., Lafarge X., Hanau D., Quainon F., Delbos F., Coeffic B., Absi L., Eliaou J.-F., Moalic V., Fort M., De Matteis M., Theodorou I., Hau F., Batho A., Pedron B., Caillat-Zucman S., Marry E., Raus N., Yakoub-Agha I., Cesbron A.;2015;;Is there any impact of HLA-DPB1 disparity in 10/10 HLA-matched unrelated hematopoietic SCT? Results of a French multicentric retrospective study.;Bone Marrow Transplantation;;50;;;;;;232-236;;;;;;;;;;;;;;;;;10.1038/bmt.2014.253;;25365066;;;;;;;
Gaigeot M.-P., Sulpizi M., Pfeiffer-Laplaud M., Costa D., Tielens F.;2015;;Bimodal Acidity at the Amorphous Silica/Water Interface;Journal of Physical Chemistry C;;119;49;;;;;27354-27362;;;;;;;;;;;;;;;;;10.1021/acs.jpcc.5b02854;;;;;;;;;
Georgelin T., Jaber M., Fournier F., Laurent G., Costa-Torro F., Maurel M.-C., Lambert J.-F.;2015;;Stabilization of ribofuranose by a mineral surface;Carbohydrate Research;;402;;;;;;241-244;;;;;;;;;;;;;;;;;10.1016/j.carres.2014.07.018;;;;;;;;;
Grosjean R., Fehse M., Pigeot-Remy S., Stievano L., Monconduit L., Cassaignon S.;2015;;Facile synthetic route towards nanostructured Fe–TiO2(B), used as negative electrode for Li-ion batteries;Journal of Power Sources;;278;;;;;;1-8;;;;;;;;;;;;;;;;;10.1016/j.jpowsour.2014.12.032;;;;;;;;;
Hamon C., Martini C., Even-Hernandez P., Boichard B., Voisin H., Largeau L., Gosse C., Coradin T., Aime C., Marchi V.;2015;;An aqueous one-pot route to gold/quantum rod heterostructured nanoparticles functionalized with DNA;Chemical Communications (London);;51;89;;;;;16119-16122;;;;;;;;;;;;;;;;;10.1039/c5cc05148g;;26393526;;;;;;;
Hannache B., Boutefnouchet A., Bazin D., Daudon M., Foy E., Rouziere S., Dandouh A.;2015;;Presence and role of trace elements in urinary calculi;Progrès en Urologie;;25;1;;;;;22-26;;;;;;;;;;;;;;;;;10.1016/j.purol.2014.09.038;;;;;;;;;
Hélary C., Abed A., Mosser G., Louedec L., Letourneur D., Coradin T., Giraud-Guille M. M., Meddahi-Pelle A.;2015;;Evaluation of dense collagen matrices as medicated wound dressing for the treatment of cutaneous chronic wounds;Biomaterials Science;;3;2;;;;;373-382;;;;;;;;;;;;;;;;;10.1039/c4bm00370e;;;;;;;;;
Hélary C., Desimone M. F.;2015;;Recent advances in biomaterials for tissue engineering and controlled drug delivery;;;16;7;;;;;635-645;;;;;;;;;;;;;;;;;;;25934973;;;;;;;
Le Bahers T., Haller S., Le Mercier T., Barboux P.;2015;;Assessing the Use of BiCuOS for Photovoltaic Application: From DFT to Macroscopic Simulation;Journal of Physical Chemistry C;;119;31;;;;;;;;;;;;;;;;;;;;;;10.1021/acs.jpcc.5b05551;;;;;;;;;
